Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Mohammad Rizwan (PAK),9,7,2,359,131,71.8,363,98.89,1,1,0,36,5
MA Wood (ENG),7,7,4,85,43,28.33,65,130.76,0,0,1,7,5
A Dutt (NED),8,8,3,65,23,13,76,85.52,0,0,0,1,5
Ibrahim Zadran (AFG),9,9,1,376,129,47,493,76.26,1,1,0,39,5
Litton Das (BAN),9,9,0,284,76,31.55,354,80.22,0,2,1,32,5
Shadab Khan (PAK),6,4,0,117,43,29.25,113,103.53,0,0,0,6,4
MP Stoinis (AUS),6,5,1,87,35,21.75,77,112.98,0,0,0,8,4
AT Nidamanuru (NED),6,6,1,110,41,22,128,85.93,0,0,0,10,4
DM de Silva (SL),8,7,0,140,34,20,184,76.08,0,0,0,13,4
Shakib Al Hasan (BAN),7,7,0,186,82,26.57,226,82.3,0,1,0,21,4
Babar Azam (PAK),9,8,1,282,74,40.28,341,82.69,0,4,0,26,4
JC Buttler (ENG),9,8,0,111,43,13.87,124,89.51,0,0,0,8,4
DP Conway (NZ),9,9,1,359,152,44.87,351,102.27,1,0,1,51,4
Mushfiqur Rahim (BAN),9,9,1,202,66,25.25,255,79.21,0,2,0,14,4
S Samarawickrama (SL),9,9,2,373,108,53.28,365,102.19,1,2,1,36,4
AL Phehlukwayo (SA),1,1,1,39,39,-,37,105.4,0,0,0,1,3
Ikram Alikhil (AFG),7,3,1,89,58,44.5,101,88.11,0,1,0,7,3
KS Williamson (NZ),3,3,1,187,95,93.5,201,93.03,0,2,0,20,3
RA Jadeja (IND),8,4,2,111,39,55.5,96,115.62,0,0,0,7,3
Taskin Ahmed (BAN),7,4,0,49,17,12.25,92,53.26,0,0,0,1,3
HC Brook (ENG),6,5,0,139,66,27.8,133,104.51,0,1,0,18,3
T Bavuma (SA),7,7,0,145,35,20.71,193,75.12,0,0,0,18,3
SA Engelbrecht (NED),7,7,0,255,70,36.42,370,68.91,0,2,0,21,3
JP Inglis (AUS),8,7,0,131,58,18.71,119,110.08,0,1,1,14,3
TWM Latham (NZ),9,7,2,155,68,31,168,92.26,0,2,0,12,3
KL Rahul (IND),8,7,3,245,97,61.25,307,79.8,0,1,0,21,3
LV van Beek (NED),7,7,2,124,59,24.8,164,75.6,0,1,1,7,3
SA Edwards (NED),8,8,2,242,78,40.33,268,90.29,0,2,2,21,3
P Nissanka (SL),9,9,1,332,77,41.5,371,89.48,0,4,2,44,3
Tanzid Hasan (BAN),9,9,0,145,51,16.11,152,95.39,0,1,1,22,3
Mujeeb Ur Rahman (AFG),9,5,1,51,28,12.75,40,127.5,0,0,0,6,2
MDKJ Perera (SL),7,7,0,149,78,21.28,147,101.36,0,2,1,25,2
CR Woakes (ENG),8,7,0,127,51,18.14,151,84.1,0,1,1,14,2
JM Bairstow (ENG),9,8,0,156,52,19.5,182,85.71,0,1,1,20,2
BFW de Leede (NED),8,8,0,127,67,15.87,178,71.34,0,1,0,14,2
M Labuschagne (AUS),9,8,0,286,71,35.75,371,77.08,0,2,0,25,2
AU Rashid (ENG),9,8,2,92,20,15.33,90,102.22,0,0,0,7,2
JE Root (ENG),9,8,0,216,82,27,240,90,0,2,1,17,2
Hashmatullah Shahidi (AFG),9,9,3,310,80,51.66,424,73.11,0,3,0,25,2
Mehidy Hasan Miraz (BAN),9,9,1,193,57,24.12,247,78.13,0,1,0,20,2
Rahmat Shah (AFG),9,9,1,320,77,40,419,76.37,0,3,0,28,2
Mohammad Wasim (PAK),4,1,0,7,7,7,9,77.77,0,0,0,0,1
W Barresi (NED),3,3,0,79,41,26.33,107,73.83,0,0,0,11,1
TA Boult (NZ),9,3,2,19,10,19,23,82.6,0,0,0,1,1
G Coetzee (SA),7,3,0,35,22,11.66,39,89.74,0,0,0,2,1
K Rabada (SA),8,3,1,15,9,7.5,33,45.45,0,0,0,0,1
Haris Rauf (PAK),9,4,2,18,16,9,22,81.81,0,0,0,2,1
AD Mathews (SL),5,4,0,51,23,12.75,78,65.38,0,0,1,4,1
CAK Rajitha (SL),6,4,0,52,33,13,57,91.22,0,0,1,6,1
SA Yadav (IND),4,4,0,85,49,21.25,74,114.86,0,0,0,11,1
MS Chapman (NZ),7,5,1,82,39,20.5,66,124.24,0,0,0,10,1
KA Maharaj (SA),9,5,3,55,40,27.5,72,76.38,0,0,0,7,1
Mohammad Nabi (AFG),9,6,0,55,19,9.16,76,72.36,0,0,0,3,1
Mustafizur Rahman (BAN),8,6,2,42,20,10.5,89,47.19,0,0,0,4,1
Saud Shakeel (PAK),9,6,0,212,68,35.33,209,101.43,0,2,0,26,1
Shoriful Islam (BAN),8,6,5,28,12,28,28,100,0,0,0,3,1
M Theekshana (SL),8,6,2,100,38,25,185,54.05,0,0,2,11,1
SPD Smith (AUS),8,7,0,205,71,29.28,238,86.13,0,1,1,23,1
MA Starc (AUS),8,7,0,71,28,10.14,113,62.83,0,0,1,5,1
